location_1,location_2,business_closed,business_closed_date,business_closed_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,school_closed,school_closed_date,school_closed_url,college_closed,college_closed_date,college_closed_url,value
Alabama,Wilcox County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Winston County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alaska,Aleutians East Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Aleutians West Census Area,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Anchorage,Yes,2020-03-22,https://www.ktuu.com/content/news/Hunker-Down-order-goes-into-effect-at-10-pm-for-Anchorage-municipality-569015821.html,Yes,2020-03-22,https://www.ktuu.com/content/news/Hunker-Down-order-goes-into-effect-at-10-pm-for-Anchorage-municipality-569015821.html,,,,,,,
Alaska,Bethel Census Area,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Bristol Bay Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Denali Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Dillingham Census Area,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
Alaska,Fairbanks North Star Borough,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,Yes,2020-03-28,https://www.alaskapublic.org/2020/03/27/we-crossed-a-line-today-dunleavy-further-limits-travel-and-movement-as-coronavirus-cases-increase/,,,,,,,
